Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_1,71.15,80,0
Machine_2,22.0,218,1
Machine_3,42.0,213,0
Machine_4,37.86,61,1
Machine_5,78.92,233,1
Machine_6,74.14,171,0
Machine_7,91.37,127,0
Machine_8,26.96,92,1
Machine_9,53.75,262,1
Machine_10,22.38,76,1
Machine_11,37.49,138,1
Machine_12,60.43,40,1
Machine_13,22.12,55,1
Machine_14,35.91,200,0
Machine_15,71.99,154,0
Machine_16,63.6,94,1
Machine_17,37.64,135,0
Machine_18,67.14,65,0
Machine_19,84.75,136,1
Machine_20,20.52,140,0
Machine_21,84.47,149,0
Machine_22,75.85,198,0
Machine_23,47.22,105,0
Machine_24,32.44,31,1
Machine_25,96.58,171,1
Machine_26,46.93,104,1
Machine_27,27.42,96,1
Machine_28,27.74,158,0
Machine_29,87.8,119,0
Machine_30,68.3,86,1
Machine_31,84.57,43,1
Machine_32,78.38,97,0
Machine_33,62.9,37,1
Machine_34,97.85,213,0
Machine_35,50.28,151,0
Machine_36,64.16,195,0
Machine_37,86.35,38,1
Machine_38,69.48,119,0
Machine_39,88.94,165,0
Machine_40,66.19,56,0
Machine_41,76.37,94,0
Machine_42,23.67,245,0
Machine_43,38.23,299,0
Machine_44,43.15,88,1
Machine_45,26.38,62,0
Machine_46,38.62,273,0
Machine_47,28.08,259,0
Machine_48,42.24,215,1
Machine_49,70.85,292,1
Machine_50,49.19,85,0
Machine_51,49.61,261,0
Machine_52,36.76,287,0
Machine_53,41.36,143,0
Machine_54,94.93,52,1
Machine_55,71.84,296,0
Machine_56,68.73,184,1
Machine_57,33.69,264,1
Machine_58,78.33,45,0
Machine_59,33.07,61,1
Machine_60,50.36,275,0
Machine_61,99.16,235,0
Machine_62,71.2,248,1
Machine_63,64.56,85,1
Machine_64,74.77,281,1
Machine_65,87.43,257,0
Machine_66,82.08,67,0
Machine_67,38.32,71,1
Machine_68,22.57,194,1
Machine_69,45.24,105,0
Machine_70,41.42,63,1
Machine_71,36.88,94,1
Machine_72,95.43,170,1
Machine_73,90.11,196,1
Machine_74,45.17,225,1
Machine_75,72.44,180,0
Machine_76,51.65,262,1
Machine_77,93.16,288,1
Machine_78,56.71,250,0
Machine_79,41.19,80,1
Machine_80,39.73,88,0
Machine_81,64.91,140,0
Machine_82,41.02,250,1
Machine_83,66.77,261,0
Machine_84,91.83,146,1
Machine_85,51.95,241,0
Machine_86,37.55,203,1
Machine_87,99.8,262,1
Machine_88,60.76,234,0
Machine_89,27.27,242,1
Machine_90,23.77,78,0
Machine_91,28.77,190,1
Machine_92,70.2,248,0
Machine_93,83.37,190,1
Machine_94,53.77,160,0
Machine_95,25.08,221,1
Machine_96,50.53,108,1
Machine_97,99.69,272,0
Machine_98,62.33,64,0
Machine_99,97.69,76,0
Machine_100,88.86,73,1
Machine_101,20.92,77,1
Machine_102,77.66,251,0
Machine_103,74.54,79,0
Machine_104,62.96,220,0
Machine_105,41.35,96,0
Machine_106,71.28,60,1
Machine_107,28.92,198,0
Machine_108,54.78,92,1
Machine_109,56.3,240,1
Machine_110,96.31,211,0
Machine_111,90.07,246,0
Machine_112,41.07,56,0
Machine_113,60.05,177,0
Machine_114,34.29,189,1
Machine_115,93.01,210,0
Machine_116,89.64,83,0
Machine_117,43.88,289,1
Machine_118,71.12,138,0
Machine_119,68.72,109,1
Machine_120,32.23,276,1
Machine_121,81.0,144,1
Machine_122,63.15,85,1
Machine_123,82.29,209,1
Machine_124,62.43,218,1
Machine_125,20.05,88,1
Machine_126,45.93,172,1
Machine_127,21.56,145,1
Machine_128,94.33,249,1
Machine_129,90.3,43,0
Machine_130,86.53,166,1
Machine_131,44.6,44,1
Machine_132,24.63,122,0
Machine_133,90.24,169,1
Machine_134,95.76,188,1
Machine_135,26.85,203,1
Machine_136,58.88,209,0
Machine_137,25.54,33,0
Machine_138,80.85,122,0
Machine_139,81.27,103,0
Machine_140,30.27,235,1
Machine_141,58.02,65,1
Machine_142,63.98,102,1
Machine_143,41.2,45,0
Machine_144,89.79,76,0
Machine_145,53.85,140,1
Machine_146,36.94,222,0
Machine_147,63.14,244,1
Machine_148,78.39,262,0
Machine_149,36.09,204,1
Machine_150,44.94,110,1
Machine_151,99.61,219,1
Machine_152,71.99,189,1
Machine_153,55.05,196,1
Machine_154,61.41,73,1
